Job Title,Job Description,Extracted Skills
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","web, storage, one, programming languages, python, api, management, communication, programming, security, nosql, ruby, node.js, application, languages, infrastructure, building, java, server management, api development, express, django, functionality, sql, data, web applications, database"
Purchasing Agent,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.","communication, management, operations, supply chain operations, vendor, logistics, supply chain, skills, vendor coordination, communication skills, supply, inventory, flow, inventory management, materials"
Purchasing Agent,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.","communication, management, operations, supply chain operations, vendor, logistics, supply chain, skills, vendor coordination, communication skills, supply, inventory, flow, inventory management, materials"
Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.","market, sales, lead generation, b2b sales consultants, drive, market research, research, b2b, relationship building, contracts, building, sales growth"
Civil Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","design, structural engineering, buildings, structures, engineering, structural, sap2000, project management, management, assessment, structural analysis, analysis, project, codes, software, autocad, compliance, building codes, safety, other, structural integrity, building, principles"
Network Security Specialist,"SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets.","operations centers, protocols, incident response, log analysis, ips, ids/ips, analysis, ids, security, soc, security tools, triage, operations, analyze, soc analysts, security operations, security incident response, security protocols"
UI Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"design, web, user experience, javascript, css, front-end web development, web development, cross-browser compatibility, design web, elements, responsive design, optimization, code, web performance, html, front-end developer, front-end"
Financial Planner,"Assist clients with tax planning, minimize tax liabilities, and stay up-to-date with tax laws and regulations.","financial analysis, retirement planning, skills, relationship management, management, communication, analysis, regulations, tax software, software, liabilities, tax law, compliance, regulatory, optimization, communication skills, tax, tax planning, regulatory compliance, estate planning"
Event Planner,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.","conferences, budget, management, events, coordinators, logistics, vendor coordination, marketing, event planning, plan, budget management"
Psychologist,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.","diagnose, health, assessment, psychology, mental health, skills, research, psychologists, assessment tools, clinical psychology"
Electrical Designer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.","design, electronics, power generation, electrical, engineers, autocad, devices, circuit, projects, electrical engineering, engineering, circuit design, problem"
Electrical Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.","architectural lighting, design, software, spaces, aesthetics, lighting design, technical knowledge, lighting plans, concepts, energy, lighting, technical"
Data Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","organization, dashboards, data modeling, skills, intelligence, analysis, modeling, sql, analytical, power bi, business intelligence, concepts, reports, data analysis, analyze data, visualization, tableau, decision-making, reporting, analyze, data, database"
Technical Writer,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.","web, writing, inform, articles, platforms, seo, grammar, writers, skills, research, content, proofreading"
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","design, focus, adobe, illustrator, interfaces, interactive, visual design, elements, layout, responsive design, photoshop, design principles, ui, digital, design tools, typography, other, visual, graphic design, color, color theory, adobe photoshop, principles"
Tax Consultant,A Personal Tax Consultant provides tax planning and preparation services to individuals. They help clients optimize their tax situations while ensuring compliance with tax laws.,"software, communication, compliance, tax law, irs, tax compliance, preparation, regulations, communication skills, skills, relationship management, tax, tax planning, tax software, management"
Software Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"testing, framework, test, python, testing tools, management, appium, data management, integration, automation tools, continuous integration, selenium, appium) scripting, automation, software, selenium, test scripts, languages, test automation tools, java, scripting, scripting languages, test data, functionality, test automation, data"
Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.","sales, tactics, account management, product knowledge, forecasting, relationship building, contracts, revenue, building, management"
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.","software, communication, customer, hardware, it, it infrastructure, infrastructure, customer service, technical, troubleshooting"
Account Director,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.","communication, campaign execution, account management, analysis, advertising, client accounts, skills, marketing, account strategists, optimization, communication skills, data, management, data analysis"
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","instagram, twitter, advertising, brand awareness, schedule, scheduling, facebook, platforms, engage, content, brand, analytics, engagement, social media managers, drive, social advertising, analyze, social media, metrics, community engagement"
Database Administrator,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.","design, database design, privacy regulations, programming languages, structures, python, data modeling, programming, modeling, security, regulations, data structures, languages, database developer, data security, java, queries, sql, data, databases, database"
Research Analyst,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.","design, critical thinking, research ethics, survey, skills, communication, sociology, report writing, analysis, human behavior, software, writing, ethics, social science researcher, survey design, research, communication skills, interviewing, data analysis, quantitative data, nvivo, statistical software, psychology, data, stata, anthropology"
Data Entry Clerk,"A Record Keeper is responsible for maintaining accurate records and databases, ensuring data integrity, and assisting in data retrieval when needed.","attention, data entry, data integrity, records management, record, records, data, management, databases"
Registered Nurse,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.","patient care, assessment, patient assessment, healthcare, teams"
Tax Consultant,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.","international, structures, skills, relationship management, tax credits, international business, management, communication, transfer pricing, international tax, tax software, software, business operations, compliance, tax law, tax compliance, communication skills, multinational, tax, tax planning, tax treaties, documentation, operations"
Investment Analyst,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,"mitigation strategies, financial modeling, organization, risk management, compliance, assessment, risk, analysis, modeling, risk assessment, regulatory, regulatory compliance, mitigation, risk management tools, data, management, data analysis, financial modeling risk"
Speech Therapist,"Speech Pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. They develop personalized treatment plans to improve communication.","diagnose, communication, assessment, articulation, skills, language disorders, therapy planning communication, communication skills, speech, pathology"
Sales Manager,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.","sales, sales operations, territory, strategy, leadership, sales strategy, territory management, oversee, operations, team leadership, management, teams"
Social Worker,"Offer counseling and therapy services to individuals, couples, or groups, helping them address mental health concerns.","health assessment, mental health assessment, psychotherapy mental, skills, groups, communication, health, assessment, cultural competence documentation communication, certification, treatment planning, self, crisis intervention, psychotherapy, mental health, communication skills, licensing, self-care, documentation, crisis"
Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.","context, disease management, patient education, family, health, health assessment, assessment, family medicine, nurse practitioners, medicine, healthcare, management"
Landscape Architect,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.","gis, design, land use, zoning, urban, urban design, regulations, urban planning"
Key Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.","sales, account management, strategy, business development, strategic account, sales strategy, skills, negotiation, management"
UX Researcher,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.","testing, customer, product development, data analysis, inform, analysis, user research, research, usability testing, data, usability"
Account Manager,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.","sales, account management, strategy, sales strategy, skills, negotiation, building, management"
Investment Banker,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning.","financial modeling, financial analyst, financial planning, financial analysis, analysis, budgeting, modeling, reports, decision-making, data, data analysis"
IT Support Specialist,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.","software, system, remote desktop, customer, hardware, customer service skills, customer service, skills, software troubleshooting, macos, desktop support, windows, troubleshooting, desktop support technicians"
Art Director,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.","art history, history, public, cultural awareness, collections management, exhibition, management, art"
Account Executive,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets.","sales, tactics, account management, product knowledge, forecasting, relationship building, contracts, revenue, building, management"
Software Developer,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,"design, web, swift, mobile apps, react native, app, react, platforms, integration, developers, mobile, design principles, troubleshooting, apis, kotlin, apps, languages, mobile applications, web services, java, teams, cross-platform development, debugging, platform development, principles"
Project Manager,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.","kanban team collaboration agile, collaboration, fostering, agile methodologies, kanban, project, scrum, jira, teams, agile"
Civil Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","design, structural engineering, buildings, structures, engineering, structural, sap2000, project management, management, assessment, structural analysis, analysis, project, codes, software, autocad, compliance, building codes, safety, other, structural integrity, building, principles"
Customer Service Manager,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.","service quality, process, customer, quality assurance managers, organization, service delivery, audit, compliance, root, root cause analysis, root cause, analysis, quality control, process improvement, improvement, analyze, quality assurance, quality standards"
Procurement Manager,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.","procurement, market research, order management, skills, relationship management, management, communication, assessment, analysis, contract negotiation, process, research, data analysis problem, communication skills, spend analysis, negotiation, data analysis, attention, supplier relationship management, analyze, data"
Substance Abuse Counselor,"A Family Counselor works with families to address interpersonal issues, improve communication, and resolve conflicts, fostering healthier family dynamics.","communication, family, family therapy, conflict resolution, fostering, skills, dynamics, conflict, resolve"
Supply Chain Analyst,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.","transportation planning, data analytics inventory management, supply chain operations, transportation, analysis, logistics, supply chain, analytics, inventory, logistics analyst, supply, operations, data analytics, data, inventory management, management"
Data Engineer,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.","availability, data architect, data, data architecture, architecture, design, infrastructure, modeling, security, data modeling, database management systems, data infrastructure, data systems, management, database"
Sales Manager,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.","sales, sales operations, territory, strategy, leadership, sales strategy, territory management, oversee, operations, team leadership, management, teams"
Supply Chain Analyst,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.","transportation planning, data analytics inventory management, supply chain operations, transportation, analysis, logistics, supply chain, analytics, inventory, logistics analyst, supply, operations, data analytics, data, inventory management, management"
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","design, focus, adobe, illustrator, interfaces, interactive, visual design, elements, layout, responsive design, photoshop, design principles, ui, digital, design tools, typography, other, visual, graphic design, color, color theory, adobe photoshop, principles"
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","quality standards, software, testing, quality assurance analyst, resolve, bug tracking, test case, quality assurance processes, reporting, regression testing, quality assurance, case, teams"
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","quality standards, software, testing, quality assurance analyst, resolve, bug tracking, test case, quality assurance processes, reporting, regression testing, quality assurance, case, teams"
Technical Writer,"Documentation Specialists create and manage documents, manuals, or technical materials. They ensure accuracy, consistency, and accessibility of documentation.","accessibility, management, data entry, document management, manuals, skills, documentation, organizational, data, technical, materials"
Accountant,"Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization.","organization, auditing, gaap, accounting software, accountants, financial statements, financial accountants, software, financial reporting, compliance, accounting, reports, records, financial data, accounting standards, financial reports, reporting, quickbooks, decision-making, analyze, data"
Sales Representative,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.","prospecting, inside sales representatives, crm, crm software, salesforce, lead generation, revenue, communication, product knowledge, online, software, inside sales, sales, customer, presentation, negotiation, sales prospecting, relationship building, building, engage"
Key Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.","sales, account management, strategy, business development, strategic account, sales strategy, skills, negotiation, management"
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","incident response, network security, ethical hacking, administration, vulnerability assessment, skills, prevention, communication, intrusion detection, assessment, analysis, policies, security, firewall, problem, log analysis, protocols, hacking, vulnerability, communication skills, security incident response, ethical, security protocols"
Purchasing Agent,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability.","availability, inventory control, demand, analysis, supply, supply chain, warehouse, demand forecasting, supply chain management, stock management, forecasting, inventory, data, management, data analysis"
QA Analyst,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"testing, framework, engineers, focus, test scripts, languages, scripting, scripting languages, python, code review, integration, reporting, code, test automation, testing process, process, continuous integration, automation"
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","design, focus, adobe, illustrator, interfaces, interactive, visual design, elements, layout, responsive design, photoshop, design principles, ui, digital, design tools, typography, other, visual, graphic design, color, color theory, adobe photoshop, principles"
Sales Representative,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.","prospecting, inside sales representatives, crm, crm software, salesforce, lead generation, revenue, communication, product knowledge, online, software, inside sales, sales, customer, presentation, negotiation, sales prospecting, relationship building, building, engage"
Environmental Consultant,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.","impact, consulting, communication, green building, policies, sustainability consulting, green, sustainability, building, sustainability consultants"
Electrical Engineer,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.","electronics, design, embedded systems, hardware, engineers, circuit, analysis, pcb, layout, embedded systems circuit, embedded, circuit analysis, components, hardware engineers, functionality, troubleshooting, electronic components"
Systems Engineer,"The role of a Systems Integration Specialist involves integrating various software and hardware components to create cohesive systems. You will design and implement solutions that enable different systems to communicate and work together seamlessly. Your responsibilities also include troubleshooting integration issues, ensuring data consistency, and collaborating with cross-functional teams.","testing, software, design, integration architecture, architecture, hardware, data mapping, middleware, system, integration, system testing, api, components, api integration system, data, troubleshooting, teams"
Brand Manager,A Brand Strategist develops strategies to build and strengthen a companys brand identity. They research market trends and consumer preferences to guide branding decisions.,"messaging, competitive analysis, strategist, collaboration, brand identity, analysis, strategy, market research, branding, research, brand strategy, positioning, brand"
Electrical Designer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.","design, electronics, power generation, electrical, engineers, autocad, devices, circuit, projects, electrical engineering, engineering, circuit design, problem"
Nurse Practitioner,"Acute Care Nurse Practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings.","emergency medicine, acute, focus, nurse practitioners, acute care, acute care nurse practitioners, hospitals, critical care, treatment planning, medicine"
Litigation Attorney,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.","client counseling, legal writing, litigation, writing, legal research, trials, litigation legal, preparation, research, legal, counsel, case, attorneys"
Network Engineer,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.","testing, incident response, network security, focus, vulnerability assessment, security policy, measures, cyber, engineers, intrusion detection, assessment, security, network security engineers, network systems, protocols, vulnerability, security policy development, firewalls, safeguard, penetration testing, data, policy development, security protocols"
Psychologist,"Research Psychologists conduct psychological research to advance the fields understanding. They design studies, collect data, and analyze results to inform scientific knowledge.","design, writing, critical thinking, inform, critical, research psychologists, analysis, reports, research, psychologists, analyze, data, data analysis"
Art Teacher,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.","communication, learning, outreach, teacher training, educational outreach, skills, communication skills, program development, art education, curriculum development, training, art appreciation, art, art education coordinator"
Human Resources Manager,"Talent Acquisition Managers oversee the recruitment and hiring process. They develop recruitment strategies, source candidates, conduct interviews, and collaborate with hiring managers to attract and hire qualified talent to meet the organizations staffing needs.","hiring, software, staffing, recruitment, onboarding, interviewing, talent acquisition managers, talent acquisition, sourcing, process, hr software, acquisition"
Teacher,"A Classroom Teacher educates students in a specific subject or grade level. They create lesson plans, deliver instruction, assess student progress, and foster a positive learning environment.","differentiated instruction, management, learning, assessment, classroom management, pedagogy, classroom, curriculum development, instruction, teaching, learning environment"
Inventory Analyst,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.","stock control demand forecasting inventory, operations, inventory control, demand, supply, supply chain, skills, tracking systems, stock control, forecasting, inventory, demand forecasting, inventory management, management, problem"
Legal Counsel,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.","risk, skills, legal research, management, communication, analysis, regulations, legal matters, legal, compliance, corporate law, research, contracts, negotiation, attorneys, risk management, acquisitions, drafting, counsel"
Database Developer,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.","design, database design, data modeling, skills, modeling, security, relational databases, developers, structured query language, optimization, query optimization, data integrity, queries, database maintenance, maintenance, sql, data, databases, database"
Procurement Specialist,"Procurement Managers oversee procurement processes, managing vendor relationships, negotiating contracts, and ensuring cost-effective purchasing of goods and services.","analysis, procurement, purchasing, supply, supply chain, supply chain management, supplier management, contracts, negotiation, management"
